"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 22 11:51:25 ICT 2023","Wed Mar 22 11:51:25 ICT 2023","164","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_50","NLA_50",""
"passed","Wed Mar 22 12:02:46 ICT 2023","Wed Mar 22 12:02:49 ICT 2023","3497","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_20","NLA_20",""
"passed","Wed Mar 22 11:56:32 ICT 2023","Wed Mar 22 11:56:42 ICT 2023","9750","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_39_40","NLA_39_40",""
"broken","Wed Mar 22 11:51:25 ICT 2023","Wed Mar 22 11:51:25 ICT 2023","184","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_51","NLA_51",""
"passed","Wed Mar 22 12:01:12 ICT 2023","Wed Mar 22 12:02:46 ICT 2023","93423","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_19","NLA_19",""
"passed","Wed Mar 22 11:56:23 ICT 2023","Wed Mar 22 11:56:32 ICT 2023","9831","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_38","NLA_38",""
"passed","Wed Mar 22 11:56:17 ICT 2023","Wed Mar 22 11:56:23 ICT 2023","5807","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_41","NLA_41",""
"broken","Wed Mar 22 11:56:53 ICT 2023","Wed Mar 22 11:57:06 ICT 2023","12733","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_43","NLA_43",""
"passed","Wed Mar 22 11:54:14 ICT 2023","Wed Mar 22 11:56:13 ICT 2023","119365","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_35","NLA_35",""
"broken","Wed Mar 22 11:51:24 ICT 2023","Wed Mar 22 11:51:24 ICT 2023","246","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_45","NLA_45",""
"passed","Wed Mar 22 11:56:42 ICT 2023","Wed Mar 22 11:56:53 ICT 2023","11037","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_42","NLA_42",""
"broken","Wed Mar 22 11:51:24 ICT 2023","Wed Mar 22 11:51:25 ICT 2023","192","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_47_48_49","NLA_47_48_49",""
"passed","Wed Mar 22 11:56:13 ICT 2023","Wed Mar 22 11:56:17 ICT 2023","3724","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_36","NLA_36",""
"broken","Wed Mar 22 11:51:24 ICT 2023","Wed Mar 22 11:51:24 ICT 2023","167","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_46","NLA_46",""
"broken","Wed Mar 22 11:51:25 ICT 2023","Wed Mar 22 11:51:25 ICT 2023","184","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_52","NLA_52",""
"passed","Wed Mar 22 11:54:12 ICT 2023","Wed Mar 22 11:54:14 ICT 2023","1271","Test Mobile","IPhone 12 Pro","test.checkout.LoginAddressTest","test.checkout.LoginAddressTest","NLA_21","NLA_21",""
